17:36:33:625:;511841;511788;28544;0;100198;757472;1157521;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;1;50;0;0;0;0;0;0;0
17:36:33:687:;511841;511788;28544;0;100198;757472;1157521;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;1;50;0;0;0;0;0;0;0
17:36:33:750:;511841;511788;28544;0;100198;757472;1157521;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;1;50;0;0;0;0;0;0;0
17:36:33:812:;511841;511788;28544;0;100198;757472;1157521;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;1;50;0;0;0;0;0;0;0
17:36:33:875:;511841;511788;28544;0;100198;757472;1157521;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;1;50;0;0;0;0;0;0;0
17:36:33:937:;511841;511788;28544;0;100198;757472;1157521;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;1;50;0;0;0;0;0;0;0
17:36:34:000:;511841;511788;28544;0;100198;757472;1157521;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;1;50;0;0;0;0;0;0;0
17:36:34:062:;511841;511788;28544;0;100198;757472;1157521;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;1;50;0;0;0;0;0;0;0
17:36:34:125:;511841;511788;28544;0;100198;757472;1157521;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;1;50;0;0;0;0;0;0;0
17:36:34:187:;511841;511788;28544;0;100198;757472;1157521;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;1;50;0;0;0;0;0;0;0
17:36:34:250:;511841;511788;28544;0;100198;757472;1157521;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;1;50;0;0;0;0;0;0;0
17:36:34:312:;511841;511788;28544;0;100198;757472;1157521;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;1;50;0;0;0;0;0;0;0
17:36:34:375:;511841;511788;28544;0;100198;757472;1157521;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;1;50;0;0;0;0;0;0;0
17:36:34:437:;511841;511788;28544;0;100198;757472;1157521;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;1;50;0;0;0;0;0;0;0
17:36:34:500:;511841;511788;28544;0;100198;757472;1157521;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;1;50;0;0;0;0;0;0;0
17:36:34:562:;511841;511788;28544;0;100198;757472;1157521;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;1;50;0;0;0;0;0;0;0
17:36:34:625:;511841;511788;28544;0;100198;757472;1157521;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;1;50;0;0;0;0;0;0;0
17:36:34:687:;511841;511788;28544;0;100198;757472;1157521;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;1;50;0;0;0;0;0;0;0
17:36:34:750:;511841;511788;28544;0;100198;757472;1157521;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;1;50;0;0;0;0;0;0;0
17:36:34:812:;511841;511788;28544;0;100198;757472;1157521;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;1;50;0;0;0;0;0;0;0
17:36:34:875:;511841;511788;28544;0;100198;757472;1157521;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;1;50;0;0;0;0;0;0;0
17:36:34:937:;511841;511788;28544;0;100198;757472;1157521;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;1;50;0;0;0;0;0;0;0
17:36:35:000:;511841;511788;28544;0;100198;757472;1157521;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;1;50;0;0;0;0;0;0;0
17:36:35:062:;511841;511788;28544;0;100198;757472;1157521;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;1;50;0;0;0;0;0;0;0
17:36:35:125:;511841;511788;28544;0;100198;757472;1157521;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;1;50;0;0;0;0;0;0;0
17:36:35:187:;511841;511788;28544;0;100198;757472;1157521;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;1;50;0;0;0;0;0;0;0
